,Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,cluster_label
21,RG6 4BB,Yes,51.425697,-0.918237,475308,170187,SU753701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1984-02-01,,Earley,,53.0,28.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,42,,E01016648,,E02003449,Lower Earley South,E04001230,E00084033,E14001048,30044,1,0,2021-11-12,Earley,1.71164,RG,RG6,Thames Valley,Thames Water,9C3XC3GJ+7P,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
22,RG6 4BD,Yes,51.424661,-0.918031,475324,170072,SU753700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1984-02-01,,Earley,,96.0,41.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,41,,E01016646,,E02003449,Lower Earley South,E04001230,E00084038,E14001048,30028,1,0,2021-11-12,Earley,1.82668,RG,RG6,Thames Valley,Thames Water,9C3XC3FJ+VQ,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
23,RG6 4BE,Yes,51.425196,-0.919323,475233,170130,SU752701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1984-02-01,,Earley,,68.0,28.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,41,,E01016648,,E02003449,Lower Earley South,E04001230,E00084016,E14001048,30044,1,0,2021-11-12,Earley,1.76964,RG,RG6,Thames Valley,Thames Water,9C3XC3GJ+37,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
24,RG6 4BG,Yes,51.419859,-0.944563,473487,169511,SU734695,Berkshire,Wokingham,Shinfield North,E06000041,E05002388,England,E11000002,Wokingham,1985-10-01,,Shinfield,,21.0,9.0,Reading,Reading,Wokingham 012D,Urban city and town,South East,63,,E01016679,,E02003450,Shinfield,E04001235,E00167039,E14001048,24070,1,0,2021-11-12,Earley,2.9934,RG,RG6,Thames Valley,Thames Water,9C3XC394+W5,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
25,RG6 4BH,Yes,51.424057,-0.916794,475411,170006,SU754700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,21.0,9.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084038,E14001048,30028,1,0,2021-11-12,Earley,1.8956,RG,RG6,Thames Valley,Thames Water,9C3XC3FM+J7,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
26,RG6 4BJ,Yes,51.424639,-0.916608,475423,170071,SU754700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,145.0,41.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084037,E14001048,30028,1,0,2021-11-12,Earley,1.83162,RG,RG6,Thames Valley,Thames Water,9C3XC3FM+V9,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
27,RG6 4BL,Yes,51.423339,-0.916034,475465,169927,SU754699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,44.0,18.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084038,E14001048,30028,1,0,2021-11-12,Earley,1.97821,RG,RG6,Thames Valley,Thames Water,9C3XC3FM+8H,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
28,RG6 4BN,Yes,51.42389,-0.915345,475512,169989,SU755699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,68.0,24.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084038,E14001048,30028,1,0,2021-11-12,Earley,1.9211,RG,RG6,Thames Valley,Thames Water,9C3XC3FM+HV,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
29,RG6 4BP,Yes,51.418797,-0.946472,473356,169391,SU733693,Berkshire,Wokingham,Shinfield North,E06000041,E05002388,England,E11000002,Wokingham,1986-04-01,,Shinfield,,75.0,28.0,Reading,Reading,Wokingham 012D,Urban city and town,South East,70,,E01016679,,E02003450,Shinfield,E04001235,E00167039,E14001048,24070,1,0,2021-11-12,Earley,3.16797,RG,RG6,Thames Valley,Thames Water,9C3XC393+GC,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
30,RG6 4BQ,Yes,51.419908,-0.944073,473521,169517,SU735695,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1985-10-01,,Earley,,25.0,8.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,61,,E01016655,,E02003450,Shinfield,E04001230,E00084055,E14001048,32800,1,0,2021-11-12,Earley,2.96832,RG,RG6,Thames Valley,Thames Water,9C3XC394+X9,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
