,Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,cluster_label
59,RG6 4EG,Yes,51.426682,-0.917753,475340,170297,SU753702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,17.0,10.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,43,,E01016645,,E02003449,Lower Earley South,E04001230,E00084013,E14001048,30083,1,0,2021-11-12,Earley,1.60218,RG,RG6,Thames Valley,Thames Water,9C3XC3GJ+MV,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
60,RG6 4EH,Yes,51.427961,-0.916975,475392,170440,SU753704,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,28.0,15.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,45,,E01016645,,E02003449,Lower Earley South,E04001230,E00084013,E14001048,30083,1,0,2021-11-12,Earley,1.46167,RG,RG6,Thames Valley,Thames Water,9C3XC3HM+56,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
61,RG6 4EJ,Yes,51.426004,-0.929147,474549,170210,SU745702,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1985-04-01,,Earley,,59.0,40.0,Reading,Reading,Wokingham 008C,Urban city and town,South East,57,,E01016653,,E02003446,Lower Earley North,E04001230,E00084065,E14001048,30531,1,0,2021-11-12,Earley,1.84699,RG,RG6,Thames Valley,Thames Water,9C3XC3GC+C8,65900,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
62,RG6 4EL,Yes,51.425203,-0.930057,474487,170120,SU744701,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1985-04-01,,Earley,,26.0,8.0,Reading,Reading,Wokingham 008C,Urban city and town,South East,57,,E01016653,,E02003446,Lower Earley North,E04001230,E00084065,E14001048,30531,1,0,2021-11-12,Earley,1.95431,RG,RG6,Thames Valley,Thames Water,9C3XC3G9+3X,65900,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
63,RG6 4EN,Yes,51.42556,-0.930667,474444,170159,SU744701,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1985-04-01,,Earley,,35.0,13.0,Reading,Reading,Wokingham 008C,Urban city and town,South East,60,,E01016653,,E02003446,Lower Earley North,E04001230,E00084065,E14001048,30531,1,0,2021-11-12,Earley,1.93732,RG,RG6,Thames Valley,Thames Water,9C3XC3G9+6P,65900,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
64,RG6 4EP,Yes,51.428618,-0.920897,475118,170509,SU751705,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,43.0,24.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,52,,E01016648,,E02003449,Lower Earley South,E04001230,E00084031,E14001048,30044,1,0,2021-11-12,Earley,1.40153,RG,RG6,Thames Valley,Thames Water,9C3XC3HH+CJ,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
65,RG6 4EQ,Yes,51.427298,-0.917116,475383,170366,SU753703,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,21.0,9.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,44,,E01016645,,E02003449,Lower Earley South,E04001230,E00084013,E14001048,30083,1,0,2021-11-12,Earley,1.53484,RG,RG6,Thames Valley,Thames Water,9C3XC3GM+W5,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
66,RG6 4ER,Yes,51.428801,-0.919372,475224,170531,SU752705,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-10-01,,Earley,,115.0,58.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,52,,E01016645,,E02003449,Lower Earley South,E04001230,E00084028,E14001048,30083,1,0,2021-11-12,Earley,1.37,RG,RG6,Thames Valley,Thames Water,9C3XC3HJ+G7,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
67,RG6 4ES,Yes,51.428896,-0.917989,475320,170543,SU753705,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-10-01,,Earley,,165.0,73.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,51,,E01016645,,E02003449,Lower Earley South,E04001230,E00084028,E14001048,30083,1,0,2021-11-12,Earley,1.35608,RG,RG6,Thames Valley,Thames Water,9C3XC3HJ+HR,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
68,RG6 4EU,Yes,51.428914,-0.916996,475389,170546,SU753705,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-10-01,,Earley,,57.0,32.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,50,,E01016645,,E02003449,Lower Earley South,E04001230,E00084022,E14001048,30083,1,0,2021-11-12,Earley,1.35582,RG,RG6,Thames Valley,Thames Water,9C3XC3HM+H6,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
69,RG6 4EW,Yes,51.428053,-0.92009,475175,170447,SU751704,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,5.0,4.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,49,,E01016648,,E02003449,Lower Earley South,E04001230,E00084031,E14001048,30044,1,0,2021-11-12,Earley,1.45705,RG,RG6,Thames Valley,Thames Water,9C3XC3HH+6X,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
70,RG6 4EX,Yes,51.428426,-0.917698,475341,170491,SU753704,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-10-01,,Earley,,21.0,10.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,48,,E01016645,,E02003449,Lower Earley South,E04001230,E00084022,E14001048,30083,1,0,2021-11-12,Earley,1.40845,RG,RG6,Thames Valley,Thames Water,9C3XC3HJ+9W,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
71,RG6 4EY,Yes,51.424915,-0.923146,474968,170095,SU749700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1992-08-01,,Earley,,104.0,34.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,42,,E01016648,,E02003449,Lower Earley South,E04001230,E00084036,E14001048,30044,1,0,2021-11-12,Earley,1.8336,RG,RG6,Thames Valley,Thames Water,9C3XC3FG+XP,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
72,RG6 4EZ,Yes,51.425934,-0.922446,475015,170209,SU750702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1992-08-01,,Earley,,50.0,20.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,44,,E01016648,,E02003449,Lower Earley South,E04001230,E00084016,E14001048,30044,1,0,2021-11-12,Earley,1.71328,RG,RG6,Thames Valley,Thames Water,9C3XC3GH+92,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
73,RG6 4GD,Yes,51.425627,-0.93219,474338,170165,SU743701,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,2001-06-01,,Earley,,,,Reading,Reading,Wokingham 008C,Urban city and town,South East,64,,E01016653,,E02003446,Lower Earley North,E04001230,E00084065,E14001048,30531,1,0,2021-11-12,Earley,1.98091,RG,RG6,Thames Valley,Thames Water,9C3XC3G9+74,65900,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
74,RG6 4HA,Yes,51.422951,-0.914936,475542,169885,SU755698,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,48.0,15.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084017,E14001048,30028,1,0,2021-11-12,Earley,2.02775,RG,RG6,Thames Valley,Thames Water,9C3XC3FP+52,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
75,RG6 4HB,Yes,51.42716,-0.92562,474792,170342,SU747703,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1995-07-01,,Earley,,7.0,3.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,52,,E01016648,,E02003449,Lower Earley South,E04001230,E00084036,E14001048,30044,1,0,2021-11-12,Earley,1.63672,RG,RG6,Thames Valley,Thames Water,9C3XC3GF+VQ,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
76,RG6 4HD,Yes,51.427406,-0.924996,474835,170370,SU748703,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1995-07-01,,Earley,,9.0,5.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,53,,E01016648,,E02003449,Lower Earley South,E04001230,E00084036,E14001048,30044,1,0,2021-11-12,Earley,1.59721,RG,RG6,Thames Valley,Thames Water,9C3XC3GG+X2,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
77,RG6 4HE,Yes,51.426532,-0.924905,474843,170273,SU748702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1995-07-01,,Earley,,130.0,50.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,48,,E01016648,,E02003449,Lower Earley South,E04001230,E00084036,E14001048,30044,1,0,2021-11-12,Earley,1.68819,RG,RG6,Thames Valley,Thames Water,9C3XC3GG+J2,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
78,RG6 4HF,Yes,51.425892,-0.911112,475803,170216,SU758702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1998-06-01,,Earley,,210.0,69.0,Reading,Reading,Wokingham 009A,Urban city and town,South East,40,,E01016647,,E02003447,Winnersh,E04001230,E00084015,E14001048,26727,1,0,2021-11-12,Earley,1.75574,RG,RG6,Thames Valley,Thames Water,9C3XC3GQ+9H,67800,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
79,RG6 4HG,Yes,51.426716,-0.913624,475627,170305,SU756703,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1998-06-01,,Earley,,43.0,15.0,Reading,Reading,Wokingham 011B,Urban city and town,South East,40,,E01016645,,E02003449,Lower Earley South,E04001230,E00084013,E14001048,30083,1,0,2021-11-12,Earley,1.62667,RG,RG6,Thames Valley,Thames Water,9C3XC3GP+MH,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
80,RG6 4HH,Yes,51.426268,-0.91188,475749,170257,SU757702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1998-06-01,,Earley,,121.0,37.0,Reading,Reading,Wokingham 009A,Urban city and town,South East,40,,E01016647,,E02003447,Winnersh,E04001230,E00084015,E14001048,26727,1,0,2021-11-12,Earley,1.70156,RG,RG6,Thames Valley,Thames Water,9C3XC3GQ+G6,67800,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
81,RG6 4HJ,Yes,51.423679,-0.942419,473630,169938,SU736699,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1992-08-01,,Earley,,194.0,64.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,77,,E01016655,,E02003450,Shinfield,E04001230,E00084052,E14001048,32800,1,0,2021-11-12,Earley,2.57134,RG,RG6,Thames Valley,Thames Water,9C3XC3F5+F2,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
82,RG6 4HL,Yes,51.426793,-0.922958,474978,170304,SU749703,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1991-09-01,,Earley,,110.0,45.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,46,,E01016648,,E02003449,Lower Earley South,E04001230,E00084032,E14001048,30044,1,0,2021-11-12,Earley,1.62662,RG,RG6,Thames Valley,Thames Water,9C3XC3GG+PR,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
83,RG6 4HN,Yes,51.422433,-0.942879,473600,169799,SU735697,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1987-04-01,,Earley,,218.0,92.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,74,,E01016655,,E02003450,Shinfield,E04001230,E00084052,E14001048,32800,1,0,2021-11-12,Earley,2.6974,RG,RG6,Thames Valley,Thames Water,9C3XC3C4+XR,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
84,RG6 4HP,Yes,51.422709,-0.938515,473903,169834,SU739698,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1987-04-01,,Earley,,65.0,21.0,Reading,Reading,Wokingham 012B,Urban city and town,South East,71,,E01016654,,E02003450,Shinfield,E04001230,E00084050,E14001048,32673,1,0,2021-11-12,Earley,2.48966,RG,RG6,Thames Valley,Thames Water,9C3XC3F6+3H,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
85,RG6 4HQ,Yes,51.42381,-0.939923,473803,169955,SU738699,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1987-04-01,,Earley,,1.0,1.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,74,,E01016655,,E02003450,Shinfield,E04001230,E00084051,E14001048,32800,1,0,2021-11-12,Earley,2.44953,RG,RG6,Thames Valley,Thames Water,9C3XC3F6+G2,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
86,RG6 4HR,Yes,51.423224,-0.939811,473812,169890,SU738698,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1987-04-01,,Earley,,41.0,13.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,74,,E01016655,,E02003450,Shinfield,E04001230,E00084051,E14001048,32800,1,0,2021-11-12,Earley,2.49623,RG,RG6,Thames Valley,Thames Water,9C3XC3F6+73,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
87,RG6 4HS,Yes,51.423071,-0.938765,473885,169874,SU738698,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1987-04-01,,Earley,,46.0,17.0,Reading,Reading,Wokingham 012B,Urban city and town,South East,73,,E01016654,,E02003450,Shinfield,E04001230,E00084050,E14001048,32673,1,0,2021-11-12,Earley,2.46681,RG,RG6,Thames Valley,Thames Water,9C3XC3F6+6F,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
88,RG6 4HT,Yes,51.421294,-0.9422,473649,169673,SU736696,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1986-04-01,,Earley,,20.0,9.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,68,,E01016655,,E02003450,Shinfield,E04001230,E00084055,E14001048,32800,1,0,2021-11-12,Earley,2.76714,RG,RG6,Thames Valley,Thames Water,9C3XC3C5+G4,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
89,RG6 4HU,Yes,51.421621,-0.942581,473622,169709,SU736697,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1986-04-01,,Earley,,15.0,7.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,70,,E01016655,,E02003450,Shinfield,E04001230,E00084055,E14001048,32800,1,0,2021-11-12,Earley,2.75458,RG,RG6,Thames Valley,Thames Water,9C3XC3C4+JX,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
90,RG6 4HW,Yes,51.426135,-0.912958,475674,170241,SU756702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1998-06-01,,Earley,,75.0,26.0,Reading,Reading,Wokingham 009A,Urban city and town,South East,40,,E01016647,,E02003447,Winnersh,E04001230,E00084015,E14001048,26727,1,0,2021-11-12,Earley,1.699,RG,RG6,Thames Valley,Thames Water,9C3XC3GP+FR,67800,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
91,RG6 4HX,Yes,51.4217,-0.941342,473708,169719,SU737697,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1986-04-01,,Earley,,65.0,21.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,71,,E01016655,,E02003450,Shinfield,E04001230,E00084051,E14001048,32800,1,0,2021-11-12,Earley,2.6953,RG,RG6,Thames Valley,Thames Water,9C3XC3C5+MF,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
92,RG6 4HY,Yes,51.421759,-0.939889,473809,169727,SU738697,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1986-04-01,,Earley,,86.0,31.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,70,,E01016655,,E02003450,Shinfield,E04001230,E00084051,E14001048,32800,1,0,2021-11-12,Earley,2.63075,RG,RG6,Thames Valley,Thames Water,9C3XC3C6+P2,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
93,RG6 4HZ,Yes,51.422332,-0.940666,473754,169790,SU737697,Berkshire,Wokingham,Hillside,E06000041,E05002382,England,E11000002,Wokingham,1986-04-01,,Earley,,66.0,28.0,Reading,Reading,Wokingham 012C,Urban city and town,South East,73,,E01016655,,E02003450,Shinfield,E04001230,E00084051,E14001048,32800,1,0,2021-11-12,Earley,2.61102,RG,RG6,Thames Valley,Thames Water,9C3XC3C5+WP,70100,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,2
94,RG6 4JA,Yes,51.42313,-0.918729,475278,169901,SU752699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,150.0,51.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084017,E14001048,30028,1,0,2021-11-12,Earley,1.99746,RG,RG6,Thames Valley,Thames Water,9C3XC3FJ+7G,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
95,RG6 4JB,Yes,51.423149,-0.916887,475406,169905,SU754699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,31.0,14.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084038,E14001048,30028,1,0,2021-11-12,Earley,1.99615,RG,RG6,Thames Valley,Thames Water,9C3XC3FM+76,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
96,RG6 4JD,Yes,51.423531,-0.917353,475373,169947,SU753699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,31.0,9.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084038,E14001048,30028,1,0,2021-11-12,Earley,1.95274,RG,RG6,Thames Valley,Thames Water,9C3XC3FM+C3,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
97,RG6 4JE,Yes,51.423136,-0.91939,475232,169901,SU752699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,19.0,6.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,41,,E01016646,,E02003449,Lower Earley South,E04001230,E00084017,E14001048,30028,1,0,2021-11-12,Earley,1.99849,RG,RG6,Thames Valley,Thames Water,9C3XC3FJ+76,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
98,RG6 4JF,Yes,51.424269,-0.919407,475229,170027,SU752700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1990-02-01,,Earley,,92.0,35.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,41,,E01016648,,E02003449,Lower Earley South,E04001230,E00084016,E14001048,30044,1,0,2021-11-12,Earley,1.87281,RG,RG6,Thames Valley,Thames Water,9C3XC3FJ+P6,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
99,RG6 4JG,Yes,51.422709,-0.92186,475061,169851,SU750698,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,111.0,46.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,42,,E01016646,,E02003449,Lower Earley South,E04001230,E00084039,E14001048,30028,1,0,2021-11-12,Earley,2.06111,RG,RG6,Thames Valley,Thames Water,9C3XC3FH+37,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
100,RG6 4JH,Yes,51.422294,-0.918777,475276,169808,SU752698,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,29.0,14.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,41,,E01016646,,E02003449,Lower Earley South,E04001230,E00084017,E14001048,30028,1,0,2021-11-12,Earley,2.09041,RG,RG6,Thames Valley,Thames Water,9C3XC3CJ+WF,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
101,RG6 4JJ,Yes,51.422361,-0.918229,475314,169816,SU753698,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,64.0,29.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084017,E14001048,30028,1,0,2021-11-12,Earley,2.08232,RG,RG6,Thames Valley,Thames Water,9C3XC3CJ+WP,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
102,RG6 4JL,Yes,51.422193,-0.917528,475363,169798,SU753697,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,28.0,12.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084014,E14001048,30028,1,0,2021-11-12,Earley,2.10116,RG,RG6,Thames Valley,Thames Water,9C3XC3CJ+VX,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
103,RG6 4JN,Yes,51.422229,-0.922432,475022,169797,SU750697,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1987-10-01,,Earley,,27.0,16.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,42,,E01016646,,E02003449,Lower Earley South,E04001230,E00084014,E14001048,30028,1,0,2021-11-12,Earley,2.1194,RG,RG6,Thames Valley,Thames Water,9C3XC3CH+V2,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
104,RG6 4JP,Yes,51.422882,-0.921022,475119,169871,SU751698,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1988-03-01,,Earley,,36.0,11.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,42,,E01016646,,E02003449,Lower Earley South,E04001230,E00084017,E14001048,30028,1,0,2021-11-12,Earley,2.03524,RG,RG6,Thames Valley,Thames Water,9C3XC3FH+5H,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
105,RG6 4JQ,Yes,51.422108,-0.920062,475187,169786,SU751697,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,23.0,14.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,41,,E01016646,,E02003449,Lower Earley South,E04001230,E00084014,E14001048,30028,1,0,2021-11-12,Earley,2.11525,RG,RG6,Thames Valley,Thames Water,9C3XC3CH+RX,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
106,RG6 4JS,Yes,51.4248,-0.920329,475164,170085,SU751700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1990-02-01,,Earley,,77.0,25.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,41,,E01016648,,E02003449,Lower Earley South,E04001230,E00084016,E14001048,30044,1,0,2021-11-12,Earley,1.81847,RG,RG6,Thames Valley,Thames Water,9C3XC3FH+WV,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
107,RG6 4JT,Yes,51.423805,-0.921676,475072,169973,SU750699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1990-02-01,,Earley,,35.0,12.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,42,,E01016646,,E02003449,Lower Earley South,E04001230,E00084039,E14001048,30028,1,0,2021-11-12,Earley,1.9387,RG,RG6,Thames Valley,Thames Water,9C3XC3FH+G8,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
108,RG6 4JU,Yes,51.425866,-0.916061,475459,170208,SU754702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-07-01,,Earley,,43.0,18.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,41,,E01016646,,E02003449,Lower Earley South,E04001230,E00084037,E14001048,30028,1,0,2021-11-12,Earley,1.69803,RG,RG6,Thames Valley,Thames Water,9C3XC3GM+8H,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
109,RG6 4JW,Yes,51.423236,-0.921416,475091,169910,SU750699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1988-03-01,,Earley,,51.0,18.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,41,,E01016646,,E02003449,Lower Earley South,E04001230,E00084039,E14001048,30028,1,0,2021-11-12,Earley,1.99917,RG,RG6,Thames Valley,Thames Water,9C3XC3FH+7C,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
110,RG6 4JX,Yes,51.425226,-0.914868,475543,170138,SU755701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-07-01,,Earley,,49.0,19.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084037,E14001048,30028,1,0,2021-11-12,Earley,1.77709,RG,RG6,Thames Valley,Thames Water,9C3XC3GP+33,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
111,RG6 4JY,Yes,51.425565,-0.914615,475560,170176,SU755701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-07-01,,Earley,,166.0,56.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,40,,E01016646,,E02003449,Lower Earley South,E04001230,E00084014,E14001048,30028,1,0,2021-11-12,Earley,1.74197,RG,RG6,Thames Valley,Thames Water,9C3XC3GP+65,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
